Value,Synonyms
Accountant,"accountant, accountants"
Actor,"actor, actors"
Actress,"actress, actresses"
Actuary,"actuaries, actuary"
Advisor,"advisor, advisors"
Aide,"aide, aides"
Ambassador,"ambassador, ambassadors"
Animator,"animator, animators"
Archer,"archer, archers"
Artist,"artist, artists"
Assistant,"personal assistant,   personal assistants,  Assistant, Assistants"
Astronaut,"astronaut, astronauts"
Astronomer,"astronomer, astronomers"
Athlete,"athlete, athletes"
Attorney,"attorney, attorneys"
Attornies,attornies
Auctioneer,"auctioneer, auctioneers"
Author,"author, authors"
Babysitter,"babysitter, babysitters"
Baker,"baker, bakers"
Ballerina,"ballerina, ballerinas"
Banker,"banker, bankers"
Barber,"barber, barbers"
BaseballPlayer,"baseball player, baseball players"
BasketballPlayer,"basketball player, basketball players"
Bellhop,"bellhop, bellhops"
Biologist,"biologist, biologists"
Blacksmith,"blacksmith, blacksmiths"
Bookkeeper,"bookkeeper, bookkeepers"
Bowler,"bowler, bowlers"
Builder,"builder, builders"
Businessman,"businessman, businessmen"
Businesswoman,"businesswoman, businesswomen"
Butcher,"butcher, butchers"
Butler,"butler, butlers"
CabDriver,"cab driver, cab drivers"
Calligrapher,"calligrapher, calligraphers"
Captain,"captain, captains"
Cardiologist,"cardiologist, cardiologists"
Caregiver,"caregiver, caregivers"
Carpenter,"carpenter, carpenters"
Cartographer,"cartographer, cartographers"
Cartoonist,"cartoonist, cartoonists"
Cashier,"cashier, cashiers"
Catcher,"catcher, catchers"
Caterer,"caterer, caterers"
Cellist,"cellist, cellists"
Chaplain,"chaplain, chaplains"
Chauffeur,"chauffeur, chauffeurs"
Chef,"chef, chefs"
Chemist,"chemist, chemists"
Clergyman,"clergyman, clergymen"
Clergywoman,"clergywoman, clergywomen"
Clerk,"clerk, clerks"
Clown,"clowns, clown"
Coach,"coach, coaches"
Cobbler,"cobbler, cobblers"
Composer,"composer, composers"
ComputerProgrammer,"computer programmer, computer programmers"
Concierge,"concierge, concierges"
Consul,"consul, consuls"
Contractor,"contractor, contractors"
Cook,"cook, cooks"
Cop,"cop, cops"
Coroner,"coroner, coroners"
Courier,"courier, couriers"
Cryptographer,"cryptographer, cryptographers"
Custodian,"custodian, custodians"
Dancer,"dancer, dancers"
Dentist,"dentist, dentists"
Deputy,"deputies, deputy"
Dermatologist,"dermatologist, dermatologists"
Designer,"designer, designers"
Detective,"detective, detectives"
Dictator,"dictator, dictators"
Director,"director, directors"
DiscJockey,"disc jockey, disc jockeys"
Diver,"diver, divers"
Doctor,"doctor, doctors"
Doorman,"doorman, doormen"
Driver,"driver, drivers"
Drummer,"drummer, drummers"
Drycleaner,"drycleaner, drycleaners"
Ecologist,"ecologist, ecologists"
Economist,"economist, economists"
Editor,"editor, editors"
Educator,"educator, educators"
Electrician,"electrician, electricians"
Emperor,"emperor, emperors"
Empress,"empress, empresses"
Engineer,"engineer, engineers"
Entertainer,"entertainer, entertainers"
Entomologist,"entomologist, entomologists"
