Value,Synonyms
Afghanistan,afghanistan
Albania,albania
Algeria,algeria
America,america
Andorra,andorra
Angola,angola
AntiguaAndBarbuda,antigua and barbuda
Argentina,argentina
Armenia,armenia
Australia,australia
Austria,austria
Azerbaijan,azerbaijan
Bahamas,bahamas
Bahrain,bahrain
Bangladesh,bangladesh
Barbados,barbados
Belarus,belarus
Belgium,belgium
Belize,belize
Benin,benin
Bhutan,bhutan
Bolivia,bolivia
BosniaAndHerzegovina,bosnia and herzegovina
Botswana,botswana
Brazil,brazil
Brunei,brunei
Bulgaria,bulgaria
BurkinaFaso,burkina faso
Burma,burma
Burundi,burundi
Cambodia,cambodia
Cameroon,cameroon
Canada,canada
CapeVerde,cape verde
CentralAfricanRepublic,central african republic
Chad,chad
Chile,chile
China,china
Comoros,comoros
Congo,congo
CostaRica,costa rica
Croatia,croatia
Cuba,cuba
Cyprus,cyprus
CzechRepublic,czech republic
CôteDIvoire,côte d'ivoire
DemocraticRepublicOfTheCongo,democratic republic of the congo
Denmark,denmark
Djibouti,djibouti
Dominica,dominica
DominicanRepublic,dominican republic
EastTimor,east timor
Ecuador,ecuador
Egypt,egypt
ElSalvador,el salvador
England,england
EquatorialGuinea,equatorial guinea
Eritrea,eritrea
Estonia,estonia
Ethiopia,ethiopia
Fiji,fiji
Finland,finland
France,france
Gabon,gabon
Gambia,gambia
Georgia,georgia
Germany,germany
Ghana,ghana
Greece,greece
Grenada,grenada
Guatemala,guatemala
Guinea,guinea
GuineaBissau,guinea-bissau
Guyana,guyana
Haiti,haiti
Honduras,honduras
Hungary,hungary
Iceland,iceland
India,india
Indonesia,indonesia
Iran,iran
Iraq,iraq
Ireland,ireland
Israel,israel
Italy,italy
Jamaica,jamaica
Japan,japan
Jordan,jordan
Kazakhstan,kazakhstan
Kenya,kenya
Kiribati,kiribati
Korea,korea
Kuwait,kuwait
Kyrgyzstan,kyrgyzstan
Laos,laos
Latvia,latvia
Lebanon,lebanon
Lesotho,lesotho
Liberia,liberia
Libya,libya
Liechtenstein,liechtenstein
Lithuania,lithuania
Luxembourg,luxembourg
Macedonia,macedonia
Madagascar,madagascar
Malawi,malawi
Malaysia,malaysia
Maldives,maldives
Mali,mali
Malta,malta
MarshallIslands,marshall islands
Mauritania,mauritania
Mauritius,mauritius
Mexico,mexico
Micronesia,micronesia
Moldova,moldova
Monaco,monaco
Mongolia,mongolia
Montenegro,montenegro
Morocco,morocco
Mozambique,mozambique
Namibia,namibia
Nauru,nauru
Nepal,nepal
Netherlands,netherlands
NewZealand,new zealand
Nicaragua,nicaragua
Niger,niger
Nigeria,nigeria
NorthKorea,north korea
NorthernIreland,northern ireland
Norway,norway
Oman,oman
Pakistan,pakistan
Palau,palau
Panama,panama
PapuaNewGuinea,papua new guinea
Paraguay,paraguay
Peru,peru
Philippines,philippines
Poland,poland
Portugal,portugal
Qatar,qatar
Romania,romania
Russia,russia
Rwanda,rwanda
SaintKittsAndNevis,saint kitts and nevis
SaintLucia,saint lucia
SaintVincentAndTheGrenadines,saint vincent and the grenadines
Samoa,samoa
SanMarino,san marino
SaudiArabia,saudi arabia
Scotland,scotland
Senegal,senegal
Serbia,serbia
Seychelles,seychelles
SierraLeone,sierra leone
Singapore,singapore
Slovakia,slovakia
Slovenia,slovenia
SolomonIslands,solomon islands
Somalia,somalia
SouthAfrica,south africa
SouthKorea,south korea
Spain,spain
SriLanka,sri lanka
Sudan,sudan
Suriname,suriname
Swaziland,swaziland
Sweden,sweden
Switzerland,switzerland
Syria,syria
SãoToméAndPríncipe,são tomé and príncipe
Taiwan,taiwan
Tajikistan,tajikistan
Tanzania,tanzania
Thailand,thailand
Togo,togo
Tonga,tonga
TrinidadAndTobago,trinidad and tobago
Tunisia,tunisia
Turkey,turkey
Turkmenistan,turkmenistan
Tuvalu,tuvalu
UAE,u a e
UK,u k
Uganda,uganda
Ukraine,ukraine
UnitedArabEmirates,united arab emirates
UnitedKingdom,united kingdom
UnitedStates,united states
UnitedStatesOfAmerica,united states of america
Uruguay,uruguay
Uzbekistan,uzbekistan
Vanuatu,vanuatu
VaticanCity,vatican city
Venezuela,venezuela
Vietnam,vietnam
Wales,wales
Yemen,yemen
Zambia,zambia
Zimbabwe,zimbabwe
