Value,Synonyms
AcornSquash,"acorn squash, acorn squashes"
Alfalfa,"alfalfa, alfalfas"
AlfalfaSprout,"alfalfa sprout, alfalfa sprouts"
Artichoke,"artichoke, artichokes"
Arugula,"arugula, arugulas"
Asparagus,asparagus
Avocado,"avocado, avocados"
BambooShoot,"bamboo shoot, bamboo shoots"
Beet,"beet, beets"
BellPepper,"bell pepper, bell peppers"
Broccoli,"broccoli, broccolis"
BrusselsSprout,"brussels sprout, brussels sprouts"
Carrot,"carrot, carrots"
Cauliflower,"cauliflower, cauliflowers"
Celeriac,"celeriac, celeriacs"
Celery,"celeries, celery"
Chard,"chard, chards"
ChineseCabbage,"chinese cabbage, chinese cabbages"
CollardGreen,"collard green, collard greens"
Cress,"cress, cresses"
Cucumber,"cucumber, cucumbers"
Daikon,"daikon, daikons"
DandelionGreen,"dandelion green, dandelion greens"
Eggplant,"eggplant, eggplants"
Endive,"endive, endives"
FavaBean,"fava bean, fava beans"
Garlic,"garlic, garlics"
Ginger,"ginger, gingers"
Gourd,"gourd, gourds"
GreenBean,"green bean, green beans"
GreenPepper,"green pepper, green peppers"
Greens,greens
HotChiliPepper,"hot chili pepper, hot chili peppers"
IcebergLettuce,"iceberg lettuce, iceberg lettuces"
Kale,"kale, kales"
Leek,"leek, leeks"
Lentil,"lentil, lentils"
Lettuce,"lettuce, lettuces"
LimaBean,"lima bean, lima beans"
Maize,"maize, maizes"
MungBean,"mung bean, mung beans"
Mushroom,"mushroom, mushrooms"
MustardGreen,"mustard green, mustard greens"
Okra,"okra, okras"
Olive,"olive, olives"
Onion,"onion, onions"
Parsnip,"parsnip, parsnips"
Pea,"pea, peas"
Peanut,"peanut, peanuts"
Peapod,"peapod, peapods"
Pickle,"pickle, pickles"
Potato,"potato, potatoes"
Pumpkin,"pumpkin, pumpkins"
Radicchio,"radicchio, radicchios"
Radish,"radish, radishes"
RedPepper,"red pepper, red peppers"
Rhubarb,"rhubarb, rhubarbs"
Romaine,"romaine, romaines"
Rutabaga,"rutabaga, rutabagas"
Salad,"salad, salads"
Salsify,"salsifies, salsify"
Scallion,"scallion, scallions"
Seaweed,"seaweed, seaweeds"
Shallot,"shallot, shallots"
Sorrel,"sorrel, sorrels"
Soybean,"soybean, soybeans"
Spinach,"spinach, spinaches"
Sprout,"sprout, sprouts"
Spud,"spud, spuds"
Squash,"squash, squashes"
StringBean,"string bean, string beans"
Succotash,"succotash, succotashes"
SweetPotato,"sweet potato, sweet potatoes"
SwissChard,"swiss chard, swiss chards"
Taro,"taro, taros"
Tomatillo,"tomatillo, tomatillos"
Tomato,"tomato, tomatoes"
Tuber,"tuber, tubers"
Turnip,"turnip, turnips"
Vegetable,"vegetable, vegetables"
WaterChestnut,"water chestnut, water chestnuts"
Watercress,"watercress, watercresses"
Yam,"yam, yams"
YellowPepper,"yellow pepper, yellow peppers"
Zucchini,"zucchini, zucchinis"
